hidden_layers,neurons,activation,learning_rate,batch_size,epochs,test_accuracy,test_loss
1,64,relu,0.001,32,10,0.7774999737739563,0.4647948145866394
1,128,relu,0.001,32,10,0.8075000047683716,0.4157654941082001
2,64,relu,0.001,32,10,0.8999999761581421,0.2279333621263504
1,64,tanh,0.001,32,10,0.6825000047683716,0.5729260444641113
1,64,relu,0.0001,32,10,0.6225000023841858,0.6419246792793274
1,64,relu,0.001,64,10,0.699999988079071,0.5665279626846313
